PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN,ESTADO,,
"El Artículo 86 de la Constitución Española establece un plazo de 30 días, para que los Decretos-Leyes sean sometidos a debate y votación de la totalidad del Congreso de los Diputados, durante el cual:",Los Decretos-Leyes podrán ser tramitados por las Cortes como proyectos de ley por el procedimiento de urgencia.,Los Decretos-Leyes podrán ser tramitados por las Cortes como proyectos de ley por el procedimiento común.,"Durante dicho plazo, no pueden ser tramitados ni como proyectos de ley ni como propociones de ley.","Durante dicho plazo, sólo el Senado puede tramitar los Decretos-Leyes como proyectos de ley por el procedimiento de urgencia.",A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Puede el Estado transferir o delegar a las Comunidades Autónomas facultadas que son de su titularidad?,"No, en ningún caso.","Sí, mediante Ley Orgánica, en relación con cualquier tipo de facultades.","Sí, mediante Ley Orgánica, en relación con las facultades que por su propia naturaleza sean susceptibles de transferencia o delegación, sin que el Estado se pueda reservar ninguna forma de control.","Si, mediante Ley Orgánica, en relación con las facultades que por su propia naturaleza sean susceptibles de transferencia o delegación, previendo en cada caso la correspondiente transferencia de medios financieros, así como las formas de control que se reserve el Estado.",D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,Ortografía,
"De conformidad a lo establecido en la Constitución Española, las Cortes pueden delegar en el Gobierno la potestad de dictar normas con rango de Ley. Cuando se trata de que el Gobierno elabore y apruebe textos articulados esta delegación tiene que otorgarse mediante:",Ley Orgánica.,Ley de Bases.,Ley ordinaria.,Mandato.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
La iniciativa legislativa para la reforma de la Constitución Española de 1978:,Le corresponde exclusivamente al congreso y al Senado.,Puede ser ejercida por el Tribunal Constitucional.,Puede ser instada por las Asambleas de las Comunidades Autónomas.,Le corresponde exclusivamente al Gobierno.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
El Rey podrá presidir las sesiones del Consejo de Ministros:,"Cuando el Rey, por razones de interés general, así lo decida.",A petición del Pleno del Consejo de Ministros.,A petición del Presidente del Gobierno.,No está prevista constitucionalmente la presidencia del Consejo de Ministros por parte del Rey.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según la Constitución, las poblaciones de Ceuta y Melilla estarán representadas por:","Un diputado y un senador, cada una de ellas","Dos diputados y un senador, cada una de ellas.","Un diputado y dos senadores, cada una de ellas","dos diputados y dos senadores, cada una de ellas.",C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
El defensor del pueblo será elegido por las Cortes Generales para un período de:,3 años.,5 años.,4 años.,6 años.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Cuántos miembros componen el Tribunal Constitucional?,11,12,14,8,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
La potestad reglamentaria constitucionalmente corresponde:,Al Gobierno.,A las Cortes Generales.,Al Poder Judicial.,Al Congreso de los Diputados.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"La competencia de nombrar y cesar a los ministros corresponde, según establece la Constitución Española:",Al Presidente del Gobierno.,A las Cortes Generales,A los electores.,"Al Rey, a propuesta del Presidente del Gobierno.",D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Los reglamentos aprobados en el ejercicio de la potestad reglamentaria no pueden:,Establecer tributos.,Desarrollar lo establecido en una Ley.,Modificar los plazos para presentar recursos administrativos.,Crear un órgano colegiado interministerial.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"La Constitución Española de 1978, estructura las Cortes Generales en:",Dos cámaras: Congreso de los Diputados (Cámara Alta) y Senado (Cámara Baja).,Consejo de Ministros y dos Cámaras: Congreso de los Diputados (Cámara Alta) y Senado (Cámara Baja).,Gobierno de la Nación y dos Cámaras: Congreso de los Diputados (Cámara Alta) y Senado (Cámara Baja).,Dos Cámaras: Congreso de los Diputados (Cámara Baja) y Senado (Cámara Alta).,D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Cuál es la composición del Pleno del Tribunal de Cuentas?,"El Pleno de Tribunal de Cuentas está integrado por doce Consejeros de Cuentas, uno de los cuales será el Presidente y el Fiscal.","El Pleno de Tribunal de Cuentas está integrado por diez Consejeros de Cuentas, más el Presidente.",El Pleno de Tribunal de Cuentas está integrado por diez Consejeros de Cuentas.,"El Pleno de Tribunal de Cuentas está integrado por doce Consejeros de Cuentas, más el Presidente.",A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Señale la afirmación correcta. Corresponde al Rey:,Nombrar a los miembros del Gobierno a propuesta de las Cortes Generales.,Nombrar y separar a los miembros del Gobierno a propuesta de las Cortes Generales.,Nombrar y separar a los miembros del Gobierno previa consulta al Presidente del Gobierno.,"Nombrar y separar a los miembros del Gobierno, a propuesta de su Presidente.",D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Señale la afirmación correcta:,"La aprobación, modificación o derogación de las leyes orgánicas exigirá mayoría absoluta de las Cortes Generales, en una votación final sobre el conjunto del proyecto.",Las disposiciones del Gobierno que contengan legislación delegada recibirán el título de Decretos-leyes.,"Son leyes orgánicas las relativas al desarrollo de los derechos fundamentales y de las libertades públicas, las que aprueben los Estatutos de Autonomía y el régimen electoral general y las demás previstas en la Constitución.",La delegación legislativa deberá otorgarse mediante una ley orgánica cuando su objeto sea la formación de textos articulados o por una ley ordinaria cuando se trate de refundir varios textos legales en uno.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Señale cómo se reúnen los miembros del Gobierno:,En Consejo de Ministros y en Comisiones Delegadas del Gobierno.,En Consejo de Ministros y en Consejo de Vicepresidentes.,En Consejo de Ministros y en Comisiones Delegadas de las Cortes Generales.,En Comisiones Delegadas del Gobierno y Consejo de Estado.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Señale la afirmación correcta. La tramitación de las proposiciones de ley se regulará por:,Ley Orgánica.,Lo dispuesto en la normativa comunitaria.,Los Reglamentos de las Cámaras.,"El Reglamento del Congreso de los Diputados, exclusivamente.",C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Las disposiciones del Gobierno que contengan legislación delegada reciben el título de:,Decretos Legislativos.,Decretos-leyes.,Leyes de bases.,Reales Decretos del Consejo de Ministros.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"De acuerdo con la regulación de la Constitucional de las Comunidades Autónomas, señale la afirmación correcta:",La federación de Comunidades Autónomas exige aprobación mediante ley orgánica.,Los Estatutos de Autonomía deben contener la delimitación del territorio de la Comunidad Autónoma.,La reforma de los Estatutos se aprobará por las Cortes Generales mediante ley ordinaria.,El Estado tiene competencia exclusiva sobre agricultura y ganadería.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
La alteración de los límites de una provincia debe ser aprobada por:,El Gobierno.,La Asamblea de la Comunidad Autónoma a la que pertenezca la provincia.,"Las Cortes Generales, mediante ley orgánica.",Una Comisión formada por los senadores designados en esa provincia.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
La representación ordinaria del Estado en las Comunidades Autónomas corresponde a:,El Delegado del Gobierno.,El Subdelegado del Gobierno.,El Presidente de la Comunidad Autónoma.,El Gobernador Civil.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"La dirección de la política interior y exterior, la Administración civil y militar y la defensa del Estado corresponde a:",El Rey.,El Jefe del Estado.,El Gobierno.,El Presidente del Gobierno.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Corresponde aprobar el proyecto de Ley de Presupuestos Generales del Estado a:,El Ministerio de Economía y Hacienda.,El Congreso de los Diputados.,Las Cortes Generales.,El Consejo de Ministros,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
"De acuerdo con la Constitución española, la declaración del estado de excepción corresponde a:","El rey, a propuesta del Gobierno.","El Gobierno, mediante Decreto acordado en Consejo de Ministros, previa autorización del Congreso de los Diputados.","El Congreso de los Diputados, a propuesta del Consejo de Ministros.","Las Cortes Generales, por mayoría de los miembros de cada Cámara.",B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿A cuántos miembros del Tribunal Constitucional corresponde proponer al Gobierno?,Cuatro.,Ninguno.,Dos.,Seis.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Señale la afirmación correcta en relación con la regulación constitucional de la composición del Senado:,La población de Melilla elegirá dos Senadores.,En cada provincia se elegirán tres senadores.,Las Asambleas de las Comunidades Autónomas elegirán un senador cuando su población supere el millón de habitantes.,El Senado se compone de 350 senadores.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según el Artículo 59 de la Constitución española, será válida la Regencia nombrada por las Cortes Generales que se componga del siguiente número de personas:",Cinco.,Dos.,Cuatro.,Siete.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Según el Título II de la Constitución Española relativo a la Corona:,La Regencia se ejercerá por mandato constitucional y siempre en nombre del Rey.,Las abdicaciones y renuncias en el orden sucesorio se resolverán por ley ordinaria.,El Príncipe heredero podrá asumir la Regencia durante su minoría de edad.,La Regencia podrá ejercerse por nacionales de cualquier Estado.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según establece la Constitución Española, las asociaciones se inscribirán en un registro a efectos de:",Publicidad.,Constitución.,Legalidad.,Creación.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según la Constitución Española de 1978, están legitimados para interponer el recurso de inconstitucionalidad:",El Presidente del Gobierno.,El Consejo de Ministros.,40 Diputados.,El Ministerio Fiscal.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Tal y como marca la Constitución Española de 1978, en el caso de los referéndums consultivos:","Su propuesta parte del Presidente del Gobierno, ha de ser autorizada por el Congreso de los Diputados.","Son propuestos por el Consejo de Ministros, siendo autorizados previamente por el Presidente del Gobierno.",Son refrendados por el Rey.,Son convocados por el Presidente del Gobierno.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según el Título III ""De las Cortes Generales"" de la Constitución Española, las Cámaras podrán:","Recibir peticiones individuales y colectivas, siempre por escrito, quedando prohibida la presentación directa por manifestaciones ciudadanas.",Delegar en las Comisiones Legislativas Permanentes la aprobación de proyectos o proposiciones de ley relativas a cuestiones internacionales.,Reunirse en sesión extraordinaria a petición de la mayoría simple de los miembros de cualquiera de las Cámaras.,Nombrar conjuntamente Comisiones de Investigación sobre asuntos de interés público. Sus conclusiones serán vinculantes para los Tribunales.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según establece el Artículo 86 de la Constitución Española, los Decretos-Leyes son normas con rango de Ley que aprueba el Gobierno:","Previa delegación de las Cortes, para casos de extraordinaria y urgente necesidad y una vez aprobados deben ser sometidos a debate y votación de totalidad al Congreso de los Diputados.","Sin mediar delegación de las Cortes, aunque deben ser inmediatamente sometidos a debate y votación de totalidad al Congreso de los Diputados.","En casos de extraordinaria y urgente necesidad sin mediar delegación de las Cortes, aunque una vez aprobados deben ser tramitados como proyectos de ley por el procedimiento de urgencia.","Previa delegación de las Cortes, para casos de extraordinaria y urgente necesidad, y que una vez aprobados deben ser sometidos a debate y votación de totalidad al Congreso de los Diputados.",B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según el Artículo 68 de la Constitución, el Congreso se compone de:",Un mínimo de 300 Diputados.,Un máximo de 350 Diputados.,Un mínimo de 400 Diputados.,Un máximo de 300 Diputados.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Cómo se denomina el Título I de la Constitución Española?:,De los derechos y deberes fundamentales.,De los españoles y los extranjeros.,Derechos y libertades.,De la Corona.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Cuántos capítulos tiene el Título VIII de la Constitución?.,Dos Capítulos.,Tres Capítulos.,Un Capítulo.,Cuatro Capítulos.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según la Constitución Española, durante el periodo de su mandato los Diputados y Senadores gozarán asimismo de inmunidad y sólo podrán ser detenidos en caso de flagrante delito. No podrán ser inculpados ni procesados sin la previa autorización:",De la Cámara respectiva.,Del Rey.,Del Tribunal Constitucional.,Del Tribunal Supremo.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"¿En qué artículo de la Constitución se garantiza el derecho al honor, a la intimidad personal y familiar y a la propia imagen?.",Artículo 16.2.,Artículo 17.1.,Artículo 18.1.,Artículo 18.2.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según la Constitución española, el instrumento fundamental para la participación política son:",las Cortes generales.,los partidos políticos.,los sindicatos.,las Comunidades Autónomas.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"La sección segunda, del capítulo segundo, del título I de la Constitución Española de 1978, se denomina:",De los derechos fundamentales y de las libertades públicas.,De los derechos y deberes fundamentales.,De los derechos y libertades de los ciudadanos.,De los derechos y deberes de los ciudadanos.,D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Cuál de los siguientes principios NO se garantiza en el artículo 9.3 de la Constitución Española de 1978?,Jerarquía normativa.,Seguridad jurídica.,Responsabilidad y la interdicción de la arbitrariedad de los poderes públicos.,Irretroactividad de las disposiciones sancionadoras favorables o restrictivas de derechos individuales.,D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Qué artículo de la Constitución Española de 1978 establece que “La ley limitará el uso de la informática para garantizar el honor y la intimidad personal y familiar de los ciudadanos y el pleno ejercicio de sus derechos”?,Artículo 9.,Artículo 55.,Artículo 30.,Artículo 18.,D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Extinguidas todas las líneas llamadas en Derecho para la sucesión en el trono:,Las Cortes Generales proveerán a la sucesión en la forma que más convenga a los intereses de España.,Las Cortes Generales proveerán a la sucesión atendiendo exclusivamente a los imperativos genealógicos conocidos.,El Congreso de los Diputados proveerá a la sucesión de conformidad con los usos y costumbres existentes.,El Congreso de los Diputados proveerá a la sucesión conforme a lo que decidan dos grupos parlamentarios o una quinta parte de los Diputados.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"En relación con el Defensor del Pueblo, señale la afirmación correcta:",Es el supremo órgano consultivo del Gobierno.,"Puede supervisar la actividad de la Administración del Estado, pero no la de las Comunidades Autónomas.","Puede anular resoluciones e imponer sanciones, siempre que no impliquen privación de libertad.","Tiene como misión la defensa de todos los derechos comprendidos en el Título I de la Constitución Española, y no sólo los susceptibles de recurso de amparo.",D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Indique la respuesta falsa. Según el Artículo 147 de la Constitución española, los Estatutos de Autonomía deberán contener:",La denominación de la Comunidad que mejor corresponda a su identidad histórica.,La delimitación de su territorio.,Las competencias asumidas y aquéllas del Estado sobre las que la Comunidad Autónoma se reserva el derecho de opción.,"La denominación, organización y sede de las instituciones autónomas propias.",C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"De acuerdo con lo previsto en la Constitución Española, el Gobierno y la administración autónoma de las provincias estarán encomendados:",A Diputaciones u otras Corporaciones de carácter representativo.,A los Subdelegados del Gobierno y a los Directores Insulares.,A las Diputaciones y a las Mancomunidades de Municipios.,A las Diputaciones y a las Comarcas.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
"Según el Artículo 22 de la Constitución Española, las asociaciones sólo podrán ser disueltas o suspendidas en sus actividades:",Por Real Decreto.,Por Orden del Ministerio del Interior.,Por resolución judicial motivada.,Por resolución del Delegado del Gobierno de la Comunidad Autónoma donde tenga establecido su domicilio la asociación.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
La convocatoria a referéndum en los casos previstos en la Constitución corresponde a:,El Presidente del Congreso de los Diputados.,El Presidente del Gobierno.,El Rey.,El Consejo de Ministros.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
"¿Cuál de los siguientes órganos, de conformidad con la Constitución Española, no tiene legitimidad para interponer el recurso de inconstitucionalidad?",El Presidente del Senado.,El Defensor del Pueblo.,Las Asambleas de las Comunidades Autónomas.,El Presidente del Gobierno.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
"Según el Artículo 75 de la Constitución Española, las Cámaras pueden delegar en las Comisiones Legislativas Permanentes:",La aprobación de proyectos o proposiciones de ley.,La convalidación de decretos-leyes.,La aprobación de proyectos de leyes de bases.,La aprobación de proyectos de leyes orgánicas.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
"De conformidad con el Artículo 97 de la Constitución Española, corresponde dirigir la política interior y exterior, la Administración civil y militar y la defensa del Estado:","Al Jefe del Estado, por corresponderle el mando supremo de las Fuerzas Armadas.","A las Cortes Generales, como representación del pueblo español.",Al Congreso de los Diputados.,Al Gobierno.,D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
El Artículo 108 de la Constitución Española establece que el Gobierno responde solidariamente de su gestión política ante:,El Jefe del Estado.,El Tribunal Constitucional.,El Congreso de los Diputados.,Las Cortes Generales.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
El Título Preliminar de la Constitución Española de 1978 engloba una serie de preceptos entre los que se encuentra el relativo a:,La regulación sobre la adquisición de la nacionalidad española.,"La naturaleza, funcionamiento y estructura de los partidos políticos.",La entrada en vigor de la propia Constitución.,El reconocimiento de los derechos históricos de los territorios forales.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
Según la regulación constitucional del derecho de asociación:,Las asociaciones que se constituyan deben inscribirse en un registro a los efectos de publicidad.,Las asociaciones pueden ser suspendidas en virtud de resolución administrativa motivada.,Este derecho aparece regulado en el Título Preliminar de la Constitución.,Este derecho aparece regulado en la Sección 2ª del Capítulo 2º del Título I de la Constitución.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
En caso de dimisión del Presidente del Gobierno:,El Gobierno cesa a continuación.,"El Rey podrá proponer, a través del Presidente del Congreso, un nuevo candidato a la Presidencia del Gobierno.","El Pleno del Congreso, por mayoría absoluta, podrá proponer al Rey un nuevo candidato a la Presidencia del Gobierno.","El Pleno del Congreso y del Senado, por mayoría absoluta, podrá proponer al Rey un nuevo candidato a la Presidencia del Gobierno.",A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
Respecto de las relaciones que constitucionalmente se regulan entre los miembros del Gobierno y las Cortes Generales:,La comparecencia de los miembros del Gobierno ante las Cámaras y sus Comisiones puede extenderse también a los funcionarios de sus Departamentos.,Los funcionarios sólo comparecerán si así lo solicitasen las propias Cámaras o sus Comisiones.,Los funcionarios sólo comparecerán si así lo deciden los miembros del Gobierno.,Los funcionarios no comparecerán en ningún caso.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Las dos Cámaras que configuran las Cortes Generales:,"Se reúnen en dos periodos ordinarios: de septiembre a diciembre, y de febrero a julio.","Se reúnen en dos periodos ordinarios: de septiembre a noviembre, y de febrero a junio.","Pueden reunirse en sesiones extraordinarias, a petición de la Diputación Permanente.","Pueden reunirse en sesiones extraordinarias, a petición de la mayoría simple de los miembros de cualquiera de las Cámaras.",C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,,
