PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN,ESTADO_SEGUNDA_REVISION,
¿Cuál de las siguientes frases identificaría a un buen directivo?:,Es capaz de controlarlo todo de tal forma que la organización no puede pasar ni un día sin él,"No intenta controlarlo todo, e intenta ser uno más en la cadena, la organización podría funcionar sin él si se ausentara","Divide su tiempo entre la operativa diaria y los proyectos de innovación. Delega gran parte de los trabajos rutinarios, los que son más aburridos y tediosos para no desperdiciar su iniciativa","Ha organizado su trabajo de tal forma que puede atender otros temas que no son la operativa diaria. La organización podría funcionar un tiempo sin él, pero necesita de su capacidad de innovación",D,B1,JLO,I - XI,2002,,41,75,32,28,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes guías no forma parte de los estándares EDIFACT?:,Directorio de registro de datos,Directorio de segmentos,Directorio de mensajes,Conjunto de códigos,A,B1,JLO,I - XI,2002,,51,73,34,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes no es una implementación de POSIX (IEEE 1003)?:,HP-UX,MINIX,Solaris,Las 3 anteriores son implementaciones de POSIX,D,B1,JLO,I - XI,2002,,52,21,36,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes no es una metodología habitual para la planificación de la capacidad de los sistemas de información?:,La proyección lineal,La teoría de colas,Los benchmarks,Teoría de redes,D,B1,JLO,I - XI,2002,,13,41,37,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes respuestas no puede considerarse como un estándar abierto?:,SNA,C++,SQL,TCP/IP,A,B1,JLO,I - XI,2002,,31,21,39,43,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes respuestas referidas a las auditorías de control de calidad es cierta?:,Es un procedimiento habitual de control de calidad del software,Es un procedimiento extraordinario al que se pueden someter los proyectos que tengan especial magnitud,Su objetivo es proceder al refinamiento sucesivo en la definición de las especificaciones finales del proyecto,Ninguna de las respuestas anteriores es cierta,B,B1,JLO,I - XI,2002,,10,54,40,"36,45",2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes respuestas sobre el sistema operativo Unix es falsa?:,Fue escrito en los laboratorios Bell de ATT por Ken Thompson en 1969,Ultrix es una versión modificada del Unix comercializada por un determinado fabricante de sistemas informáticos,Es el sistema operativo con mayor cantidad de software ofimático desarrollado para él,La Universidad de Berkeley adaptó una versión ampliamente utilizada en los primeros años en los ambientes universitarios,C,B1,JLO,I - XI,2002,,39,87,41,57,2016,CORREGIDA,LGD,UPDATE,,,,
"¿Cuál de los siguientes componentes, incluido en la guia de portabilidad XPG4 está también en la XPG3?:",Servicio de directorio X.500,X Window System Application Interface,Gateway X.400,Servidor NFS,B,B1,JLO,I - XI,2002,,27,88,43,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes datos no es necesario comunicar a la Agencia de Protección de Datos para regular un fichero de titularidad privada?:,Cesiones de datos de carácter personal que se prevé realizar,Sistema operativo y gestor de bases de datos de soporte,Tipo de datos de carácter personal que contiene,Medidas de seguridad,B,B1,JLO,I - XI,2002,,50,95,44,35,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes elementos no se considera un activo de una organización?,"Recursos físicos: equipos, sistemas, cableado…","Utilización de recursos: uso de CPU, de ancho de banda, de disco duro…",Imagen y reputación pública y profesional de la empresa y sus empleados,Todos los anteriores son activos de una organización,D,B1,JLO,I - XI,2002,,5,10,45,45,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes grupos de funciones corresponde a los de un sistema de información?:,"Recogida, elaboración, evaluación, almacenamiento, recuperación, tratamiento y distribución","Recogida, elaboración, evaluación, almacenamiento, recuperación, codificación y distribución","Recogida, elaboración, evaluación, almacenamiento, recuperación, filtrado y distribución","Recogida, elaboración, evaluación, almacenamiento, recuperación, condensación y distribución",A,B1,JLO,I - XI,2002,,0,94,47,24,2016,A ELIMINAR,LGD,DELETE,,,,
¿Cuál de los siguientes no es un control de entrada de datos en una Revisión de Controles de Aplicación en una auditoría informática?:,Controles por lote y balanceo,Validación y edición de datos,Balanceo y conciliación,Autorización de ingreso,C,B1,JLO,I - XI,2002,,2,39,48,"36,45",2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes no es un método para la ordenación de alternativas en la selección de bienes y servicios?:,Método lexicográfico,Método de Promethee,Método Qualiflex,Método heurístico,D,B1,JLO,I - XI,2002,,0,13,49,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes no es un organismo nacional para la formulación de estándares?:,ANSI,JIS,DIN,CEN,D,B1,JPN,I - XI,2002,,18,59,50,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuáles son los instrumentos básicos de un sistema de ayuda a la decisión orientado a datos?:,"Consultas predefinidas, consultas ad hoc, informes de excepción y presentaciones gráficas","Informes resumen, consultas predefinidas, informes de excepción y presentaciones gráficas","Informes resumen, consultas ad hoc, informes de excepción y Consultas predefinidas","Informes resumen, consultas ad hoc, informes de excepción y presentaciones gráficas",D,B1,JLO,I - XI,2002,,0,47,52,24,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuando entró en vigor la LOPD?:,Diciembre de 1999,Enero de 2000,Febrero de 1993,Enero de 1999,B,B1,JLO,I - XI,2002,,42,11,53,35,2016,CORREGIDA,LGD,UPDATE,,,,
"¿Cuándo podría utilizarse, en un proceso de decisión multicriterio discreta, el cálculo de pesos por el método de la entropía?:",Cuando no se disponga previamente de la puntuación de las alternativas para cada criterio,Cuando el decisor quiera minimizar la subjetividad en la asignación de pesos,"Cuando, tras la normalización, exista alguna puntuación nula en alguno de los criterios",Cuando el decisor quiera comparar los criterios de dos en dos para fijar mejor su jerarquía,B,B1,JBV,I - XI,2002,,0,18,54,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuántos niveles de adecuación hay en WAI?,3,4,5,6,A,B1,JLO,I - XI,2002,,40,70,55,42,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuántos niveles de prioridad hay definidos en WAI?,2,3,4,5,B,B1,JLO,I - XI,2002,,7,33,56,42,2016,CORREGIDA,LGD,UPDATE,,,,
En el sistema internacional de medidas se usan una serie de prefijos para las unidades. A continuación se presentan algunos de ellos. ¿Podría indicar cuál es el orden correcto de menor a mayor?,Kilo-Mega-Giga-Tera-Exa-Peta.,Kilo-Giga-Mega-Tera-Exa-Peta.,Kilo-Mega-Giga-Peta-Exa-Tera.,Kilo-Mega-Giga-Tera-Peta-Exa.,D,B2,JLO,I - XI,2002,,33,29,57,105,2016,Revisada,ABM,UPDATE,,,,
¿En qué fuentes se encuentran las normas a aplicar sobre sistemas abiertos en la Administración?:,CIABSI y CSI,MAP y MJI,"Normas ISO, X/OPEN y EPHOS","ANSI, AENOR, DIN e IRANOR",C,B1,JLO,I - XI,2002,,35,36,58,43,2016,A ELIMINAR,LGD,DELETE,,,,
¿Existe en España algún centro operativo para realizar Pruebas de Conformidad de acuerdo con el plan CTS de la Unión Europea?:,"Sí, ya existen varios en funcionamiento en España","No, por no haberse implantado este plan en España","No, sólo existe un centro experimental creado en Bruselas desde 1993","No, el plan CTS no se ha puesto todavía en práctica",A,B1,JLO,I - XI,2002,,48,74,59,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué es ECMA?:,La red de correo electrónico de la Unión Europea,La asociación europea de fabricantes de ordenadores,La entidad europea de desarrollo de estándares de electrónica y comunicaciones,Nada de lo anterior,B,B1,JLO,I - XI,2002,,44,47,61,42,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué es la WAI?,una asociación mundial de defensa de los internautas,una iniciativa para la automatización de las tareas de organización web,una iniciativa para facilitar el acceso a la web de los discapacitados,una iniciativa para el desarrollo de aplicaciones inalámbricas,C,B1,JLO,I - XI,2002,,12,42,63,42,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué indica un nivel de prioridad 3 en la norma WCAG 1.0 del WAI sobre un punto de verificación?,Un desarrollador de contenidos de páginas web tiene que satisfacer el punto de verificación,Un desarrollador de contenidos de páginas web debe satisfacer el punto de verificación,Un desarrollador de contenidos de páginas web puede satisfacer el punto de verificación,Ninguna de las opciones anteriores es correcta,C,B1,JLO,I - XI,2002,,48,86,66,42,2016,A ELIMINAR,LGD,DELETE,,,,
"¿Qué método de ordenación de alternativas atiende únicamente al criterio de mayor peso y mayor puntuación, resolviendo los empates con el siguiente de mayor peso?:",Concordancia,Método lexicográfico,Ponderación lineal,Ninguno de los anteriores,B,B1,JLO,I - XI,2002,,0,54,68,38,2016,CORREGIDA,LGD,UPDATE,,,,
"¿Qué método de ordenación de alternativas compara cada permutación posible de las alternativas, con la información que aporta para cada criterio la matriz de decisión?:",Método Promethee,Utilidad multiatributo,Permutación,Ninguno de los anteriores,d,B1,JLO,I - XI,2002,,0,40,69,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué método de ordenación de alternativas ignora la cuantía de la diferencia y sólo señala si existe o no?:,Método Promethee,Utilidad multiatributo,Permutación,Ninguno de los anteriores,A,B1,JLO,I - XI,2002,,37,82,71,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué método de ordenación de alternativas incorpora la posibilidad de valorar el riesgo y la incertidumbre?:,Método Promethee,Utilidad multiatributo,Permutación,Ninguno de los anteriores,B,B1,JLO,I - XI,2002,,6,87,72,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué método de ordenación de alternativas se basa en la comparación binaria de las alternativas?:,Concordancia,Método lexicográfico,Ponderación lineal,Ninguno de los anteriores,A,B1,JLO,I - XI,2002,,0,0,73,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué método de ordenación de alternativas se basa en un recuento de en cuantos criterios ha sido la mejor?:,Método promethee,Utilidad multiatributo,Permutación,Ninguno de los anteriores,D,B1,JLO,I - XI,2002,,14,12,74,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué método de ordenación de alternativas utiliza únicamente la componente subjetiva del decisor?:,Concordancia,Método lexicográfico,Ponderación lineal,Ninguno de las anteriores respuestas es correcta,D,B1,JLO,I - XI,2002,,44,96,75,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué organización se encarga de fijar los estándares federales de trantamiento de información que las agencias gubernamentales USA deben seguir en la contratación de software y hardware?:,ANSI,IEEE,NIST,GOSIP,C,B1,JPN,I - XI,2002,,30,89,76,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué parámetro no interviene directamente en evaluar el rendimiento de un sistema?:,Tiempo de respuesta,Productividad o throughput,Tipo de procesador,Tasa de utilización de CPU,C,B1,JLO,I - XI,2002,,0,68,77,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué red implementa la jerarquía absoluta?:,En Y,En cadena,En círculo,En rueda,B,B1,JLO,I - XI,2002,,0,60,79,25,2016,A ELIMINAR,LGD,DELETE,,,,
¿Qué se considera más idóneo para un directivo?:,"Cuando se trate de un tema complejo, confiar en los expertos y decidir de acuerdo con sus informes",Dedicar tiempos tasados a cada uno de los temas,Tomar las decisiones lo más rápidamente posible,Conseguir que sus colaboradores le aprecien,B,B1,JLO,I - XI,2002,,0,0,80,29,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué se entiende por 'throughput'?:,Es la cantidad de trabajo útil ejecutado por unidad de tiempo en un entorno de carga determinado,Es la máxima cantidad de trabajo útil que se puede realizar por unidad de tiempo en un entorno de carga determinado,Es el tiempo transcurrido entre la entrega de un trabajo o una transacción al sistema y la recepción del resultado o la respuesta,Ninguna de las respuestas anteriores es cierta,A,B1,JLO,I - XI,2002,,0,51,81,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué se entiende por capacidad?:,Es la máxima cantidad de trabajo útil por unidad de tiempo en un entorno de carga determinada,Es la cantidad de trabajo útil ejecutado por unidad de tiempo en un entorno de carga determinada,Es el porcentaje de tiempo durante el cuál está siendo utilizado un componente del sistema informático,Es el intervalo de tiempo durante el cual se toman medidas para determinar el conjunto de trabajos de un programa en un entorno de memoria virtual paginada,A,B1,JLO,I - XI,2002,,0,35,82,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué se entiende por outsourcing?:,Cuando se ve agotada la capacidad del sistema,Cuando las fuentes de información del sistema son externas al mismo,Cuando la provisión de equipos o servicios del sistema es realizada por terceros,Ninguna de las anteriores respuestas es correcta,C,B1,JLO,I - XI,2002,,0,0,83,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué se establece en la Decisión del Consejo 93/465/CEE?:,El desarrollo de la Directiva 87/95/EEC de armonización técnica de productos software en la Unión Europea,La creación de una serie de laboratorios de evaluación de la conformidad de productos en el ámbito de la Unión Europea,El planteamiento global en materia de evaluación de conformidad y armonización técnica en la Unión Europea,"El régimen de colocación del marcado ""CE"" de conformidad con la normativa comunitaria referente al diseño, fabricación, comercialización, puesta en servicio y utilización de los productos industriales",D,B1,JLO,I - XI,2002,,18,70,84,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué significa la ley de Pareto del 80 / 20?:,Con el 20 % del esfuerzo se resuelven el 80 % de los problemas,El 80 % de los problemas son originados por el 20 % de la plantilla,"Con el 80 % del esfuerzo se resuelve el 20 % de los problemas, los más graves",El 20 % de los problemas se resuelven automáticamente resolviendo primero el 80 % de ellos,A,B1,JLO,I - XI,2002,,23,77,85,29,2016,CORREGIDA,LGD,UPDATE,,,,
¿Qué tipos de miembros forman X/OPEN (actual Open Group)?:,Distintas compañías que desarrollan sistemas operativos y hardware,Organizaciones de estandarización,Grupos de usuarios y diversos grupos de interés en tecnologías de la información,Todos los anteriores,D,B1,JLO,I - XI,2002,,6,21,86,48,2016,CORREGIDA,LGD,UPDATE,,,,
"¿Qué unidad funcional, dentro de las existentes habitualmente en la estructura informática de un organismo público, debería ejercer las funciones de control de calidad de los procesos, gestión de red y gestión de seguridad de datos y procesos?:",Sistemas,Desarrollo,Operaciones/explotación,Soporte a usuarios,A,B1,JLO,I - XI,2002,,5,90,87,30,2016,CORREGIDA,LGD,UPDATE,,,,
¿Quién dijo que uno de los elementos necesarios en una organización es la existencia de un fin común?:,Richard Nolan,Stephen P. Robbins,Andrea Zerilli,James C. Emery,C,B1,JLO,I - XI,2002,,0,32,88,25,2016,A ELIMINAR,LGD,DELETE,,,,
"¿Quiénes son miembros del comité JTC-1, responsable de la elaboración de normas de Tratamiento de la Información excepto de los servicios públicos de comunicaciones?:",Los países pertenecientes a la Unión Europea,Las instituciones nacionales de normalización y la Comisión de la Unión Europea,Una representación del comité directivo de la ISO,"El JTC-1 es una asociación abierta, no un comité de elaboración de normas",B,B1,JLO,I - XI,2002,,11,39,89,48,2016,CORREGIDA,LGD,UPDATE,,,,
"“Aquél equipo de informática que se adapta perfectamente a las capacidades y condiciones de quienes lo usan, permitiendo su uso de manera eficiente y sin riesgo para la salud ni la seguridad” es la definición para:",Ordenador adaptable,"Ordenador, según la WAI (Web Accesibility Initiative)",Ordenador ecológico,Ordenador ergonómico,D,B1,JLO,I - XI,2002,,14,97,90,48,2016,A ELIMINAR,LGD,DELETE,,,,
"A efectos de la LOPD, la persona física o jurídica, de naturaleza pública o privada, u órgano administrativo, que decida sobre la finalidad, contenido y uso del tratamiento, es el:",Encargado del tratamiento,Afectado o interesado,Responsable del fichero o tratamiento,Decisor del tratamiento,C,B1,JLO,I - XI,2002,,8,34,91,35,2016,CORREGIDA,LGD,UPDATE,,,,
"A la ley orgánica que en España regula el uso de la informática para garantizar la intimidad personal de las personas, se le conoce como la:",LOGSE,LOPD,LOT,LOSDAT,B,B1,JLO,I - XI,2002,,14,21,94,35,2016,CORREGIDA,LGD,UPDATE,,,,
"A los efectos de la Ley Orgánica de Protección de Datos (LOPD), se entienden por datos de carácter personal:",Cualquier información concerniente a personas físicas o jurídicas identificadas,"Cualquier información relativa a la salud, ideología, religión, creencias, origen racial o vida sexual de las personas",Cualquier información concerniente a personas físicas identificadas o identificables,"Cualquier información sobre las personas, excluidas las de carácter político, sindical o religioso",C,B1,JBV,I - XI,2002,,28,18,95,35,2016,CORREGIDA,LGD,UPDATE,,,,
A todos los efectos se consideraran normas europeas las producidas por los organismos:,"CEN, CENELEC o CEPT/ETSI","CENELEC, ETSI o IEC","ISO, CEPT o CENELEC","AENOR, CEPT o CEN",A,B1,JLO,I - XI,2002,,5,16,96,48,2016,CORREGIDA,LGD,UPDATE,,,,
"A un sistema de información definido como "" Sistemas orientados a la ayuda en la toma de decisiones esporádicas u ocasionales "" corresponde al tipo de sistema de información:",Sistemas orientados a la gestión de empresa o Management Information Systems (MIS),Sistemas orientados al proceso de transacciones o Transaction Processing Systems,Sistemas de apoyo a la toma de decisiones o Decision Support Systems (DSS),Sistemas de apoyo a la dirección o Executive Support Systems (ESS),C,B1,JLO,I - XI,2002,,0,95,97,24,2016,CORREGIDA,LGD,UPDATE,,,,
"Al hablar de ""Metodología de planificación de capacidad"", indicar cuál de las siguientes afirmaciones es correcta:",La metodología Bench-Mark se usa para comparar distintos sistemas informáticos frente a una carga característica de una instalación concreta que permite realizar mediciones en el ambiente real,La metodología de proyección lineal se basa en leyes como las de Parkinson y Murphy,La metodología de proyección lineal se puede aplicar para explicar fenómenos de comportamiento no lineal,La metodología Bench-Mark se basa en la utilización de programas para simular la realidad,A,B1,JBV,I - XI,2002,,51,56,98,29,2016,CORREGIDA,LGD,UPDATE,,,,
En relación con la impugnación de valoraciones:,"Los ciudadanos tienen derecho a no verse sometidos a una decisión con efectos jurídicos, sobre ellos o que les afecte de manera significativa, que se base únicamente en un tratamiento de datos destinados a evaluar determinados aspectos de su personalidad","El afectado podrá impugnar actos administrativos o decisiones privadas que impliquen una valoración de su comportamiento, cuyo único fundamento sea un tratamiento de datos de carácter personal que ofrezca una definición de sus características o personalidad",Las respuestas ‘a’ y ‘b’ son correctas,Ninguna de las respuestas es correcta,C,B1,JLO,I - XI,2002,,16,73,99,35,2016,CORREGIDA,LGD,UPDATE,,,,
"En relación con las pruebas de conformidad, si la comprobación de que el producto satisface o no los requerimientos técnicos definidos en una norma es realizada por el consumidor, nos estamos refiriendo a:",Comprobación de pimera parte o “first party testing”,Comprobación de segunda parte o “ second party testing”,Comprobación de tercera parte o “ third party testing”,Las pruebas de conformidad no pueden ser realizadas por los consumidores,B,B1,JLO,I - XI,2002,,12,66,100,48,2016,CORREGIDA,LGD,UPDATE,,,,
"En relación con los sistemas abiertos, indique la afirmación que no es correcta:",Los sistemas abiertos son aquéllos cuyas especificaciones están aprobadas por organismos independientes de normalización,"En lo tocante a sistemas operativos, sistema abierto es sinónimo de Unix",Sistemas abiertos son aquéllos que pueden ser adquiridos de fuentes distintas en un mercado competitivo,Un sistema definido como abierto es capaz de interconectarse con otro de acuerdo con unas normas establecidas,B,B1,JLO,I - XI,2002,,50,63,101,43,2016,CORREGIDA,LGD,UPDATE,,,,
"En relación con los sistemas abiertos, las características técnicas más comunmente citadas son:","Interoperabilidad, consistencia y escalabilidad","Interoperabilidad, conectividad e integrabilidad","Consistencia, portabilidad e integrabilidad","Interoperabilidad, portabilidad y escalabilidad",D,B1,JLO,I - XI,2002,,40,74,102,43,2016,CORREGIDA,LGD,UPDATE,,,,
Algunas técnicas de ayuda a la toma de decisiones son:,"Brain-storming, o tormenta de ideas",Teoría de grafos y análisis de redes,Teoría de colas o de líneas de espera,Todas las anteriores,D,B1,JLO,I - XI,2002,,0,5,103,38,2016,A ELIMINAR,LGD,DELETE,,,,
Analizariamos los recursos de la organización...,Cuando quisiéramos realizar una programación estratégica,"En la organización, para ver la forma de materializar la programación","Cuando ejecutáramos una programación, para determinar el costo",Al realizar una valoración de los que se ha consumido,A,B1,JLO,I - XI,2002,,53,73,104,"36,45",2016,CORREGIDA,LGD,UPDATE,,,,
