PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
Señale qué afirmación de las siguientes es cierta en relación al Valor Actual Neto (VAN) y la Tasa Interna de Rentabilidad (TIR):,"Si el VAN es negativo, la TIR de la inversión es superior al coste del capital.","En una inversión con VAN negativo, la TIR de la inversión es igual al coste del capital.","Si el VAN positivo, la TIR de la inversión es inferior al coste del capital.","En una inversión con VAN positivo, la TIR será superior al coste del capital.",D,B1,A.deGrado,PREPARATIC24,2016,,,,,40,,,,INSERT,,Examen TIC A1 2011
¿Cuál de los siguientes conceptos introducidos por Symons fue una novedad en la métrica Puntos de Función MARK II respecto a la original de Albrecht?,Fichero lógico de Entrada.,Entidad.,Consultas Externas.,Característica.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,94,,,,INSERT,,Examen TIC A1 2011
Seleccione la frase correcta acerca de los sistemas gestores de bases de datos y los modelos de datos que emplean.,"Independientemente del modelo de datos, la capacidad de un SGBD para manejar accesos concurrentes es imprescindible para la ""Consistencia"" del ""ACID test"".",El modelo de datos en red permite recuperar bloques de varios registros mediante el uso de punteros.,El modelo jerárquico es una variante de los modelos en red que elimina las relaciones N:M.,El modelo relacional incorpora restricciones inherentes al mismo que se denominan restricciones semánticas.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,60,,,,INSERT,,Examen TIC A1 2011
Indique la frase correcta acerca de los servicios web distribuidos.,"WSDL 1.1 define dos únicos tipos de operación, la unidireccional y la de petición-respuesta.",Para describir las interfaces de los servicios web se utiliza WS-BPEL.,Un usuario de un servicio registra éste utilizando UDDI.,SOAP es un protocolo para hacer llamadas a métodos de objetos remotos.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,55,,,,INSERT,,Examen TIC A1 2011
El Comité Sectorial de Administración Electrónica:,Es el órgano de cooperación interministerial de la Administración General del Estado en materia de administración electrónica.,Es el órgano técnico adscrito a la Comisión Europea que canaliza la colaboración entre la Administración General del Estado y el resto de países de la Unión Europea en materia de administración electrónica.,"Es el órgano técnico de cooperación de la Administración General del Estado, Comunidades Autónomas y Entidades Locales en materia de administración electrónica.",Es el órgano técnico adscrito a la Comisión Europea encargado de unificar los criterios en materia de tratamiento y protección de datos de carácter personal en el ámbito de la Unión Europea.,C,A2,A.deGrado,PREPARATIC24,2016,,,,,7,,,,INSERT,,Examen TIC A1 2011
"En el ámbito del modelo COCOMO, un proyecto de tipo empotrado:","Es un proyecto relativamente pequeño y sencillo, con poca innovación tecnológica.","Es un proyecto a ser incrustado en dispositivos móviles, donde los recursos son escasos.","Es un proyecto de nivel intermedio en tamaño, complejidad y sofisticación.","Es un proyecto de un tamaño y complejidad francamente elevado, donde los requisitos hardware y software son muy rígidos.",D,B3,A.deGrado,PREPARATIC24,2016,,,,,94,,,,INSERT,,Examen TIC A1 2011
Indique cuál de las siguientes afirmaciones es FALSA:,GSM (Global System Mobile) permite la utilización de los canales tanto para la transmisión de voz como de datos.,GSM permite la utilización de técnicas de supresión de silencios.,GSM emplea radiocanales de 5MHz de ancho de banda.,Las recomendaciones GSM contemplan la posibilidad de utilizar un codificador de voz que permita dividir en dos cada canal.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,117,,,,INSERT,,Examen TIC A1 2011
Indique la frase EQUIVOCADA acerca del sistema de archivos de Windows,NTFS es el sistema de archivo por defecto en Windows XP y Windows 7 y utiliza direcciones de bloques (LCN) de 64 bits.,"Los archivos NTFS presentan varios atributos, cada uno de los cuales se representan con una secuencia de bytes.",Una partición de disco NTFS se organiza como una secuencia lineal de bloques de tamaño fijo.,"Un volumen NTFS cuenta con dos tablas MFT, una para describir los archivos (MTF-F) y otra para los directorios (MTF-D).",D,B2,A.deGrado,PREPARATIC24,2016,,,,,58,,,,INSERT,,Examen TIC A1 2011
¿Cuál de los siguientes sistemas proporciona la funcionalidad de Single Sign-On basada en tickets?,KERBEROS.,STORK.,SAML.,OPENID.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,120,,,,INSERT,,Examen TIC A1 2011
"Las denominadas ""Pautas de accesibilidad al contenido en la web"" (WCAG 2.0), se organizan en cuatro principios básicos. A saber:",Perceptible; Robusto; Amable y Comprensible.,Operable; Adaptable; Comprensible y Maduro.,Perceptible; Operable; Comprensible y Robusto.,Operable; Amable; Maduro y Comprensible.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,42,,,,INSERT,,Examen TIC A1 2011
"En cuál de las siguientes combinaciones de topologías de red, un fallo en el cableado de red, impedirá el funcionamiento de toda ella:",Topología Estrella física y Mallada lógica.,Topología Anillo física y Bus lógica.,Topología Mallada física y Anillo lógica.,Topología Bus física y Estrella lógica.,D,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen TIC A1 2011
"A los efectos previstos en la Ley Orgánica 15/1999, de 13 de diciembre, de Protección de datos de carácter personal, se entiende por ""Procedimiento de disociación"":",Todo tratamiento de datos personales de modo que la información que se obtenga sólo pueda asociarse a una determinada persona.,Todo tratamiento de datos personales de modo que la información que se obtenga sólo pueda ser identificable por el interesado pero no por terceras personas.,Todo tratamiento de datos personales de modo que la información que se obtenga no pueda asociarse a persona identificada o identificable.,Todo tratamiento de datos personales de modo que la información que se obtenga se pueda tratar por el responsable del fichero para identificar a un grupo de personas con idénticas características personales.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A1 2011
"En el entorno de la firma electrónica y la identidad electrónica, STORK identifica:",Un proyecto financiado por la Comisión Europea para establecer la interoperabilidad de las identidades electrónicas de los Estados Miembros.,A la PKI desplegada por la Comisión Europea para la futura carta de identidad electrónica europea.,La implementación opensource realizada por la Comisión Europea de un cliente de firma electrónica.,El consorcio de fabricantes e industria Europea relacionado con la firma electrónica e identidad electrónica.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC A1 2011
Indique la frase correcta acerca de las arquitecturas de microprocesadores:,La arquitectura CISC es más moderna que la arquitectura RISC y busca ampliar el conjunto de instrucciones de ésta.,La arquitectura RISC dispone de un número reducido de instrucciones y gran variedad de registros de uso dedicado.,La arquitectura RISC maneja instrucciones con formato regular y complejos modos de direccionamiento.,La arquitectura CISC dispone de instrucciones complejas y dependiendo de ellas maneja diferentes longitudes de palabra.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen TIC A1 2011
La norma ISO 9004 hace referencia a:,Recomendaciones para la mejora del desempeño en sistemas de gestión de la calidad.,Guía relativa a las auditorías de la gestión de la calidad y de la gestión medioambiental.,Requisitos de los sistemas de gestión de la calidad.,Fundamentos y vocabulario en el ámbito de los sistemas de gestión de calidad.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,98,,,,INSERT,,Examen TIC A1 2011
Los cifradores de clave secreta:,Pueden encadenarse (cifrado producto) produciendo un criptograma más robusto que el obtenido al aplicar un único cifrado.,A igualdad de longitud de clave son más robustos que los de clave pública.,Su seguridad recae en el secreto del diseño.,Se usan en los sistemas operativos Windows XP y 7 para proteger las contraseñas de los usuarios.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen TIC A1 2011
En el ámbito de la auditoría de sistemas se denominan hallazgos a:,Las tareas orientadas a comprobar que se cumplen determinados procesos de control o procedimientos establecidos.,"Los criterios, condiciones y efectos que permiten documentar los problemas encontrados",Las tareas que permiten al equipo auditor entender el entorno de los sistemas a auditar.,Los métodos aplicados para conseguir el objetivo de la auditoría.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,36,,,,INSERT,,Examen TIC A1 2011
Identifique la característica que NO forma parte de los principios de diseño SOA:,Interconexión,. Encapsulación,. Reutilización.,Descubrimiento.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,55,,,,INSERT,,Examen TIC A1 2011
¿Cuál de los siguientes NO corresponde a uno de los tipos de uso establecidos para el dominio público radioeléctrico?,Uso Común,Uso Especial,Uso General.,Uso Privativo.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,121,,,,INSERT,,Examen TIC A1 2011
"La regla de ""Actualización de Vistas"" (Regla 6) de Codd establece que:",Todas las vistas actualizadas deben actualizarse también en el catálogo de datos.,Todas las vistas que son teóricamente actualizables se pueden actualizar por el sistema.,La actualización de una vista se realiza manteniendo la integridad del conjunto de información del sistema.,Todas las vistas que son actualizadas no requieren un cambio en su estructura lógica.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A1 2011
Referente a las radiaciones electromagnéticas espúreas emitidas por los equipos basados en tecnologías de la información:,TEMPEST es el acrónimo de Telecommunications Electronics Material Protected from Emanating Spurious Transmissions.,En el ámbito del Ministerio de Defensa la certificación TEMPEST es emitida por el CCN (Centro Criptológico Nacional).,El nivel 3 de certificación TEMPEST corresponde a equipos cuyas radiaciones son imperceptibles a distancias superiores a los 15 metros.,Se pueden prevenir apantallando los equipos mediante una jaula de Faraday.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,119,,,,INSERT,,Examen TIC A1 2011
¿Cómo se puede validar documentos en XML?,Usando XSL Schema.,Usando XSLT.,Usando un Applet de validación.,Usando un DTD.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen TIC A1 2011
En el contexto de los sistemas Datawarehouse y DataMart seleccione la frase correcta.,El análisis dimensional de los datos corporativos mediante técnicas de OLAP no puede implementarse sobre bases de datos relacionales.,Las bases de datos relacionales incorporan de manera estructural la jerarquía entre sucesivos niveles de una dimensión.,Los modelos en copo de nieve utilizan tablas de hechos y tablas de dimensiones para el análisis de los datos corporativos.,"Los almacenes de datos departamentales (DataMart), a diferencia de los almacenes corporativos (Datawarehouse), no requieren procesos previos de ETL (extracción, transformación y carga).",C,B2,A.deGrado,PREPARATIC24,2016,,,,,72,,,,INSERT,,Examen TIC A1 2011
Entre los objetivos del diseño de BPEL NO se encuentra:,"Proveer sistemas de control jerárquicos y de estilo gráfico, que permitan que su uso sea lo más fusionado posible.",Soportar un método de identificación de instancias de procesos que permita la definición de identificadores a nivel de mensajes de aplicaciones.,Definir procesos de negocio utilizando un lenguaje basado en XML.,Definir una interpretación gráfica de los procesos.,D,B3,A.deGrado,PREPARATIC24,2016,,,,,86,,,,INSERT,,Examen TIC A1 2011
El modelo de reproducción del color CMYK :,Es el modelo utilizado por la mayoría de escáneres.,Es un modelo de tipo sustractivo.,"Se basa en la combinación de tres colores: rojo, verde y azul.",Es el modelo utilizado por la mayoría de monitores.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,80,,,,INSERT,,Examen TIC A1 2011
La Red SARA:,Constituye la intranet corporativa de la Administración General del Estado y de sus Organismos Autónomos y Entidades Públicas dependientes.,Es la Agrupación de Servidores de Actualización de Redes Administrativas.,Tiene por objeto ser la red de comunicaciones que interconecta las redes de todas las Administraciones Públicas.,Agrupa los Registros Administrativos Estándarizados en el ámbito de las Estados pertenecientes a la Unión Europea.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,47,,,,INSERT,,Examen TIC A1 2011
"Indique la frase correcta acerca de los sistemas CRM,”Customer relationship management” y ERP “Enterprise resource planning”.",La contabilidad financiera es un módulo característico de los sistemas CRM analíticos.,El uso de técnicas de data mining en los CRM operacionales permite analizar tendencias en el comportamiento de los clientes.,Los sistemas ERP son sistemas transaccionales que se implementan únicamente sobre arquitecturas cliente servidor.,Las parametrizaciones incorporadas en los ERP los hacen más flexibles pero impiden su actualización.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,69,,,,INSERT,,Examen TIC A1 2011
"El Real Decreto 4/2010, de 8 de enero, por el que se regula el Esquema Nacional de Interoperabilidad en el ámbito de la Administración Electrónica define la interoperabilidad semántica como:",Aquella dimensión de la interoperabilidad relativa a la capacidad de las entidades y de los procesos a través de los cuales llevan a cabo sus actividades para colaborar con el objeto de alcanzar logros mutuamente acordados relativos a los servicios que prestan.,Aquella dimensión de la interoperabilidad relativa a que la información intercambiada pueda ser interpretable de forma automática y reutilizable por aplicaciones que no intervinieron en su creación.,"Aquella dimensión de la interoperabilidad relativa a la relación entre sistemas y servicios de tecnologías de la información, incluyendo aspectos tales como las interfaces, la interconexión, la integración de datos y servicios, la presentación de la información, la accesibilidad y la seguridad, u otros de naturaleza análoga.",Aquella dimensión de la interoperabilidad relativa a la interacción entre elementos que corresponden a diversas oleadas tecnológicas; se manifiesta especialmente en la conservación de la información en soporte electrónico.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,43,,,,INSERT,,Examen TIC A1 2011
¿Cuál de los siguientes términos NO se corresponde con un tipo de cable?,UTP - Unshielded Twisted Pair.,STP - Shielded Twisted Pair.,US/ STP - UnShielded Screened Twisted Pair.,FTP - Foiled Twisted Pair.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen TIC A1 2011
¿Cuál de los siguientes NO es un tipo de bus interno paralelo?,ISA,HTI.,PCI.,AGP.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,51,,,,DELETE,,Examen TIC A1 2011
Indicar cuál de las siguientes NO es un tipo de georreferenciación:,Directa,Discreta.,Indirecta.,Posicional.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,71,,,,INSERT,,Examen TIC A1 2011
SCRUM es una metodología:,Clásica.,Ágil.,Orientada a Objetos.,Dinámica.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,84,,,,INSERT,,Examen TIC A1 2011
Señale la frase ERRÓNEA acerca de los sistemas de tiempo compartido.,El algoritmo de round robin se basa en asignar por turno períodos de tiempo limitados a cada uno de los procesos.,El algoritmo del banquero impide asignar a un proceso un recurso de un tipo del que ya no queden más recursos libres.,El aplazamiento indefinido se produce cuando un proceso solicita un recurso que otro proceso ha dejado de usar sin marcarlo como “desocupado”.,El mecanismo de no apropiación evita que puedan producirse “deadlocks” entre procesos.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,56,,,,INSERT,,Examen TIC A1 2011
"De conformidad a lo previsto en el artículo 22 de la Ley Orgánica 15/1999, de 13 de diciembre, de Protección de Datos de Carácter Personal:","Los ficheros creados por las Fuerzas y Cuerpos de Seguridad que contengan datos de carácter personal que, por haberse recogido para fines administrativos, deban ser objeto de registro permanente, estarán sujetos al régimen general de la Ley Orgánica citada.","La recogida y tratamiento de datos de carácter personal obtenidos durante una actuación de las Fuerzas y Cuerpos de Seguridad podrán incluirse, previa autorización del Consejo General del Poder Judicial, en todos los ficheros de titularidad pública.","Los ficheros creados por las Fuerzas y Cuerpos de Seguridad, ya sea con fines administrativos o policiales, se rigen por las previsiones contenidas en la Ley Orgánica 2/2006, de 13 de marzo, de Fuerzas y Cuerpos de Seguridad del Estado.",En ningún caso pueden ser tratados los datos de carácter personal creados por las Fuerzas y Cuerpos de Seguridad del Estado para fines administrativos.,A,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A1 2011
Los certificados digitales:,"Basados en la recomendación X.509 v.2 admiten extensiones, que pueden llevar una bandera de criticidad.",Definidos en el programa PGP (Pretty Good Privacy) son compatibles con los X.509 v.3.,De atributos vinculan al titular con su clave pública y sus atributos.,Basados en la recomendación X.509 v.3 pueden incorporar como extensiones los atributos que constan en un certificado de atributos.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC A1 2011
Cuál de las siguientes afirmaciones relativa a las velocidades máximas estándar de transferencia en conexiones con dispositivos externos es correcta:,En Firewire 1600 es 400 MB/s.,"En USB 1.0 es 1,5 MB/s.",En Thunderbolt es 1800 MB/s.,En USB 3.0 es 600 MB/s.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,51,,,,INSERT,,Examen TIC A1 2011
Indique la frase acertada sobre la gestión de procesos en los sistemas UNIX.,"El estado de un proceso en un sistema Unix se codifica usando 3 bits,",El control de procesos en Unix permite la comunicación síncrona entre procesos mediante paso de mensajes.,Los procesos “daemon” son procesos interactivos del usuario root.,Los sistemas Unix permiten variar la prioridad de un proceso en tiempo de ejecución pero no los permisos con que se ejecuta.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A1 2011
"Según la recomendación X.509 v.3, las Listas de certificados revocados (CRL):",Permiten conocer el estado de un certificado en el instante de la consulta.,"Para cada certificado revocado indican, entre otros, el nombre del titular del certificado y la correspondiente clave pública.",Deben ser expedidas por las mismas Autoridades que emiten los certificados revocados.,"Pueden contener sólo certificados revocados desde la expedición de una CRL básica, en cuyo caso se denominan delta CRL.",D,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC A1 2011
AJAX es:,Un lenguaje de programación basado en la codificación de programas en XML.,"Una filosofía o técnica de desarrollo de aplicaciones web que se apoya, entre otras tecnologías, en XML y JavaScript.",Un servidor de aplicaciones Internet desarrollado en Java cuyas páginas web están escritas en XHTML.,Una alternativa a SOAP en la descripción de webservices.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen TIC A1 2011
Elija la frase correcta.,"Un Iphone de uso personal se conecta siempre al servidor de Internet de iOS, que actúa como un proveedor de acceso a Internet.","Un Samsung Galaxy de uso personal se conecta siempre al servidor de Internet de Android, que actúa como un proveedor de acceso a Internet.","Un Nokia 500 de uso personal se conecta siempre al servidor de Internet de Symbian, que actúa como un proveedor de acceso a Internet.","Una Blackberry de uso personal se conecta siempre al servidor de Internet de Blackberry, que actúa como un proveedor de acceso a Internet.",D,B2,A.deGrado,PREPARATIC24,2016,,,,,59,,,,INSERT,,Examen TIC A1 2011
"Según ITILv3, para qué se utiliza el modelo RACI?",Para documentar los roles y relaciones entre las partes interesadas en un proceso o actividad.,Para definir los requisitos de un nuevo proceso o servicio.,Para analizar el impacto en el negocio de una incidencia.,Para crear un Cuadro de Mando Integral que muestre el estado completo de la gestión del servicio.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,101,,,,INSERT,,Examen TIC A1 2011
Respecto a la tecnología WIFI:,Los equipos WIFI no necesitan adaptarse a ninguna normativa.,Los ayuntamientos pueden comercializar WIFI siempre y cuando se hayan inscrito en el registro de operadores.,"Los operadores de telecomunicaciones tienen que pedir una licencia para la utilización de la banda WIFI, que les permite comercializar este servicio.",Los equipos WIFI utilizan una banda de uso común.,D,B4,A.deGrado,PREPARATIC24,2016,,,,,108,,,,INSERT,,Examen TIC A1 2011
"Según la LOPD, las infracciones prescribirán:","Las muy graves a los tres años, las graves al año y las leves a los seis meses","Las muy graves a los dos años, las graves al año y las leves a los seis meses","Las muy graves a los tres años, las graves a los dos años y las leves al año.","Las muy graves a los cuatro años, las graves a los tres años y las leves al año.",C,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A1 2011
¿En qué zona del chip del DNI electrónico se encuentra el certificado x509 de componente?,Zona de seguridad.,Zona autónoma.,Zona privada.,Zona pública.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
Indique la afirmación correcta respecto a XAdES-T:,"Contiene la forma básica de firma que cumple los requisitos legales de la Directiva para firma electrónica avanzada, información sobre la política de firma (opcional) y añade un campo de sellado de tiempo para proteger contra el repudio.",Es la forma básica de firma a la que se la ha añadido información sobre la política de firma.,Añade a la forma básica de firma la posibilidad de timestamping periódico de documentos archivados para prevenir que puedan ser comprometidos debido a la debilidad de la firma durante un periodo largo de almacenamiento.,Añade sellos de tiempo a las referencias introducidas por XAdES-C para evitar que pueda verse comprometida en el futuro una cadena de certificados.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"La Ley 34/2002, de 11 de julio, de Servicios de la Sociedad de la Información y de Comercio El electrónico, en el artículo 45 detalla la prescripción para las sanciones e infracciones. Señale la respuesta correcta:","Las infracciones muy graves prescribirán a los 3 años, las graves al año y las leves a los 6 meses.","Las sanciones impuestas por faltas muy graves prescribirán a los 3 años, las impuestas por faltas graves a los 2 años y las impuestas por faltas leves a los seis meses.","Las infracciones muy graves prescribirán a los 5 años, las graves a los 3 años y las leves al año.","Las sanciones impuestas por faltas muy graves prescribirán a los 3 años, las impuestas por faltas graves a los 2 años y las impuestas por faltas leves al año.",D,A4,A.deGrado,PREPARATIC24,2016,,,,,19,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"En la Ley 34/2002, LSSICE, en el artículo 41 se establecen las medidas de carácter provisional que se pueden adoptar con el fin de asegurar la eficacia de la resolución que se dicte en relación con los procedimientos sancionadores iniciados por infracciones graves o muy graves. Señale cuál de las siguientes medidas NO se contempla:","Suspensión temporal de la actividad del prestador de servicios y, en su caso, cierre provisional de sus establecimientos.","Precinto, depósito o incautación de registros, soportes y archivos informáticos y de documentos en general, así como de aparatos y equipos informáticos de todo tipo.",Intervención provisional de los activos y bienes del prestador de servicios bajo resolución judicial.,"Advertir al público de la existencia de posibles conductas infractoras y de la incoación del expediente sancionador de que se trate, así como de las medidas adoptadas para el cese de dichas conductas.",C,A4,A.deGrado,PREPARATIC24,2016,,,,,19,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
La prestación de los servicios de validación del DNI electrónico se realiza en base a:,Online Certificate Status Protocol (OCSP).,Online Services Protocol (OSP).,Services Status Protocol (SSP).,Online Status Services Certificate (OSSC).,A,B2,A.deGrado,PREPARATIC24,2016,,,,,78,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Según se establece en el artículo 39 de la Ley Orgánica 15/1999, serán objeto de inscripción en el Registro General de Protección de Datos, los datos relativos a los ficheros que sean necesarios para el ejercicio de los derechos de:","Información, actualización, cancelación, sustitución y oposición.","Eliminación, acceso, rectificación, cancelación y omisión.","Eliminación, acceso, rectificación, cancelación y sustitución.","Información, acceso, rectificación, cancelación y oposición.",D,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
"Según se establece en la Ley 15/1999, en su artículo 31 acerca del censo promocional, indique cuál es el plazo de vigencia del uso de cada lista del censo promocional tal que concluido dicho plazo la lista perderá su carácter de fuente de acceso público:",6 meses.,1 año.,2 años.,5 años.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A2 2014 Promoción Interna
